8479407,1,298,67,130,197
8474027,4,176,9,32,41
8474027,3,4,1,1,2
8474027,28,513,20,112,132
8478465,23,10,0,0,0
8474673,10,128,5,33,38
8474673,20,577,46,206,252
8476463,30,670,43,153,196
8477380,3,25,2,1,3
8477380,28,3,0,1,1
8477380,26,54,6,5,11
8482240,17,26,1,1,2
8478996,10,18,4,4,8
8478996,52,13,0,0,0
8478996,54,7,2,0,2
8478996,8,4,0,1,1
8477015,9,185,47,68,115
8477015,10,253,43,56,99
8470606,26,694,161,189,350
8477384,9,72,0,7,7
8477384,6,3,0,0,0
8477384,13,93,4,6,10
8479366,9,30,1,8,9
8479366,19,29,3,4,7
8477887,54,5,1,0,1
8477887,4,43,4,5,9
8477887,12,28,1,1,2
8480196,7,103,2,16,18
8477402,3,301,79,116,195
8477402,19,63,25,35,60
8479382,4,54,1,2,3
8478047,53,26,11,3,14
8478047,10,72,20,37,57
8477444,21,181,59,83,142
8477444,15,328,62,83,145
8470613,28,706,160,390,550
8477335,21,5,0,1,1
8477335,23,39,1,4,5
8477355,1,238,14,92,106
8477355,7,36,2,6,8
8482124,26,40,5,4,9
8481524,21,40,5,9,14
8474038,8,380,81,79,160
8474038,20,108,13,28,41
8479381,25,36,1,2,3
8479465,53,27,1,6,7
8479465,7,29,4,4,8
8479465,16,66,14,13,27
8479465,22,156,27,22,49
8474685,21,150,23,31,54
8474685,29,361,61,65,126
8478476,53,50,3,3,6
8478443,6,394,21,49,70
8474590,15,691,112,398,510
8478506,29,71,3,11,14
8479523,16,18,0,2,2
8479523,13,36,3,6,9
8477846,16,168,10,21,31
8477846,20,6,0,1,1
8477846,54,104,14,18,32
8477846,28,28,2,3,5
8477901,15,6,0,1,1
8477901,18,11,1,0,1
8477901,54,6,1,0,1
8477901,8,94,14,20,34
8476941,1,60,3,12,15
8476941,25,14,1,3,4
8476941,10,130,8,16,24
8476941,15,37,1,5,6
8475842,24,89,14,14,28
8475842,10,19,1,1,2
8478851,18,91,3,28,31
8477478,54,273,29,35,64
8477478,7,41,5,3,8
8470604,26,564,188,186,374
8470604,5,82,26,24,50
8482654,4,15,1,1,2
8481540,8,68,22,21,43
8476879,5,53,4,13,17
8476879,22,69,4,21,25
8476879,10,56,1,7,8
8476879,9,440,32,86,118
8478416,14,216,16,38,54
8478469,9,309,41,143,184
8475808,53,15,0,0,0
8475808,8,32,0,5,5
8475808,23,77,4,5,9
8475808,29,58,2,6,8
8465009,15,55,2,8,10
8465009,2,62,0,10,10
8465009,6,546,68,129,197
8478970,23,18,0,1,1
8478970,12,16,0,3,3
8480276,28,4,0,1,1
8475279,8,164,17,29,46
8475279,13,10,1,4,5
8475279,52,305,12,52,64
8475163,22,183,42,36,78
8475163,23,60,10,8,18
8475163,15,61,9,9,18
8475163,20,81,12,12,24
8475163,9,153,19,21,40
8475163,25,86,19,23,42
8478488,9,57,5,6,11
8480053,28,14,0,5,5
8479395,17,104,10,17,27
8479395,15,7,0,1,1
8479345,53,337,53,89,142
8480078,3,246,41,49,90
8478519,14,285,64,91,155
8475231,2,638,90,105,195
8476368,28,4,0,0,0
8476368,14,11,0,0,0
8476368,1,5,1,1,2
8476368,3,37,2,4,6
8476368,9,113,4,16,20
8479348,26,33,0,11,11
8479348,8,24,2,3,5
8475160,19,52,4,4,8
8475160,10,33,1,4,5
8475160,26,503,48,55,103
8477365,6,144,5,13,18
8473504,2,587,68,84,152
8473504,30,42,4,6,10
8470601,9,16,0,2,2
8470601,2,3,0,0,0
8470601,14,350,12,54,66
8470601,4,154,7,24,31
8479639,54,86,6,13,19
8471699,25,154,11,20,31
