8448382,Curtis,Joseph,G,1967,4,29,L
8448408,Hannu,Kamppuri,G,1957,7,1,L
8448410,Doug,Keans,G,1958,1,7,L
8448412,Jari,Kaarela,G,1958,8,8,L
8448491,Terry,Kleisinger,G,1960,10,22,L
8448499,Scott,King,G,1967,6,25,L
8448535,Olie,Kolzig,G,1970,4,6,L
8448537,Rick,Kosti,G,1963,9,13,
8448614,Richard,Laferriere,G,1961,1,3,L
8448628,Mark,Laforest,G,1962,7,10,L
8448690,Jeffrey,Lastiwka,G,1960,9,12,
8448696,Normand,Lapointe,G,1955,8,13,L
8448700,Michel,Larocque,G,1952,4,6,L
8448710,Gordon,Laxton,G,1955,3,16,L
8448715,Gary,Laskoski,G,1959,6,6,L
8448749,Claude,Legris,G,1956,6,11,L
8448759,Rejean,Lemelin,G,1954,11,19,L
8448776,David,Littman,G,1967,6,13,L
8448778,Daniel,Lorenz,G,1969,12,12,L
8448805,Mario,Lessard,G,1954,6,25,L
8448807,Jean,Levasseur,G,1949,6,16,R
8448813,Andre,Lepage,G,1955,4,11,L
8448842,Todd,Lumbard,G,1963,8,31,
8448853,Pelle,Lindbergh,G,1959,5,24,L
8448861,Ronald,Loustel,G,1962,3,7,L
8448865,Mike,Liut,G,1956,1,7,L
8448886,Pete,Lopresti,G,1954,5,23,L
8448891,Ron,Low,G,1950,6,21,L
8448899,Larry,Lozinski,G,1958,10,16,L
8448965,Shawn,MacKenzie,G,1962,8,22,L
8449096,Clint,Malarchuk,G,1961,5,1,L
8449115,George,Maneluk,G,1967,7,25,L
8449250,Richard,Martens,G,1958,9,22,
8449286,Bob,Mason,G,1961,4,22,R
8449291,Markus,Mattsson,G,1957,7,30,R
8449313,Darrell,May,G,1962,3,3,L
8449400,Steve,McKichan,G,1967,5,29,L
8449426,Peter,McDuffe,G,1948,2,16,L
8449451,Ross,McKay,G,1964,3,3,L
8449474,Kirk,McLean,G,1966,6,26,L
8449491,Bill,McKenzie,G,1949,3,12,L
8449511,Jimmy,McLeod,G,1937,4,8,
8449515,Gord,McRae,G,1948,4,12,L
8449547,Roland,Melanson,G,1960,6,28,L
8449550,Gilles,Meloche,G,1950,7,12,R
8449575,Dave,Meszaros,G,1964,2,16,L
8449582,Corrado,Micalef,G,1961,4,20,R
8449588,Lindsay,Middlebrook,G,1955,9,7,R
8449618,Eddie,Mio,G,1954,1,31,L
8449627,Greg,Millen,G,1957,6,25,R
8449651,Mike,Moffat,G,1962,2,4,L
8449653,Greg,Moffett,G,1959,4,11,L
8449661,Lorne,Molleken,G,1956,6,11,
8449681,Andy,Moog,G,1960,2,18,L
8449691,Robbie,Moore,G,1954,5,3,L
8449775,Jarmo,Myllys,G,1965,5,29,L
8449779,Sergei,Mylnikov,G,1958,10,6,L
8449781,George,Abbott,G,1911,8,3,L
8449783,John,Adams,G,1946,7,27,L
8449784,Phil,Myre,G,1948,11,1,L
8449785,Don,Aiken,G,1932,1,1,L
8449787,Andy,Aitkenhead,G,1904,3,6,L
8449802,Red,Almas,G,1924,4,26,R
8449803,Lorne,Anderson,G,1931,7,26,R
8449804,Hank,Bassen,G,1932,12,6,L
8449805,Baz,Bastien,G,1919,8,29,L
8449806,Gary,Bauman,G,1940,7,21,L
8449811,Michel,Belhumeur,G,1949,9,2,L
8449816,Gordie,Bell,G,1925,3,13,L
8449817,Clint,Benedict,G,1892,9,26,L
8449819,Harvey,Bennett,G,1925,7,23,L
8449821,Bill,Beveridge,G,1909,7,1,L
8449823,Paul,Bibeault,G,1919,4,13,L
8449824,Andre,Binette,G,1933,12,2,L
8449825,Les,Binkley,G,1934,6,6,R
8449828,Richard,Bittner,G,1922,1,12,L
8449832,Gilles,Boisvert,G,1933,2,15,L
8449833,Claude,Bourque,G,1915,3,31,L
8449834,Lionel,Bouvrette,G,1914,6,10,L
8449835,Johnny,Bower,G,1924,11,8,L
8449836,Frank,Brimsek,G,1915,9,26,L
8449837,Turk,Broda,G,1914,5,15,L
8449839,Ken,Broderick,G,1942,2,16,R
8449840,Len,Broderick,G,1938,10,11,L
8449841,Art,Brooks,G,1889,2,4,R
8449842,Ross,Brooks,G,1937,10,17,L
8449843,Frank,Brophy,G,1900,8,9,L
8449844,Andy,Brown,G,1944,2,15,L
8449845,Ken,Brown,G,1948,12,19,L
8449846,Bruce,Bullock,G,1949,5,9,R
8449847,Steve,Buzinski,G,1917,10,15,L
8449848,Don,Caley,G,1945,10,9,L
8449849,Lyle,Carter,G,1945,4,29,L
8449850,Lorne,Chabot,G,1900,10,5,L
8449851,Ed,Chadwick,G,1933,5,8,L
8449852,Bob,Champoux,G,1942,12,2,L
8449853,Gerry,Cheevers,G,1940,12,7,L
8449855,Les,Colvin,G,1921,2,8,L
8449856,Alec,Connell,G,1902,2,8,R
8449857,Maurice,Courteau,G,1920,2,18,L
8449858,Abbie,Cox,G,1904,7,19,L
8449859,Roger,Crozier,G,1942,3,16,R
8449861,Wilf,Cude,G,1910,7,4,L
8449862,Claude,Cyr,G,1939,3,27,L
8449863,Nick,Damore,G,1916,7,10,L
8449864,Bob,Decourcy,G,1927,6,12,R
8449865,Norm,Defelice,G,1933,1,19,L
8449866,Denis,DeJordy,G,1938,11,12,L
8449868,Gerry,Desjardins,G,1944,7,22,L
8449869,Bill,Dickie,G,1916,2,20,R
8449896,Connie,Dion,G,1918,8,11,R
8449897,Dolly,Dolson,G,1897,5,23,L
8449899,Jeff,Nord,G,1959,4,17,
8449903,Michel,Dumas,G,1949,7,8,L
8449910,Bill,Durnan,G,1916,1,22,L
8449913,Ed,Dyck,G,1950,10,29,L
8449914,Marv,Edwards,G,1935,8,15,L
8449915,Roy,Edwards,G,1937,3,12,R
8449916,Claude,Evans,G,1933,4,28,L
8449917,Rocky,Farr,G,1947,4,7,R
8449918,Jake,Forbes,G,1897,7,4,L
8449920,Hec,Fowler,G,1892,10,14,L
8449922,Emile,Francis,G,1926,9,13,L
8449923,Jim,Franks,G,1914,11,8,L
8449956,Ray,Frederick,G,1929,7,31,L
8449959,Bruce,Gamble,G,1938,5,24,L
8449960,Bert,Gardiner,G,1913,3,25,L
8449966,Charlie,Gardiner,G,1904,12,31,R
8449967,George,Gardner,G,1942,10,8,L
8449968,Dave,Gatherum,G,1932,3,28,L
8449976,Paul,Gauthier,G,1915,3,6,R
8449977,Jack,Gelineau,G,1924,11,11,L
8449978,Bill,Oleschuk,G,1955,7,20,L
8449979,Ed,Giacomin,G,1939,6,6,L
8449981,Andre,Gill,G,1941,9,19,L
8449982,Paul,Goodman,G,1905,2,25,L
8449983,Benny,Grant,G,1908,7,14,L
8449984,Gilles,Gratton,G,1952,7,28,L
8449985,Gerry,Gray,G,1948,1,28,L
8449986,Harrison,Gray,G,1941,9,5,L
8449987,George,Hainsworth,G,1895,6,26,L
8449988,Glenn,Hall,G,1931,10,3,L
8449989,Don,Head,G,1933,6,30,L
8449990,Sammy,Hebert,G,1894,3,31,R
8449991,John,Henderson,G,1933,3,25,L
8449992,Gord,Henry,G,1926,8,17,L
8449993,Jim,Henry,G,1920,10,23,L
8449994,Hec,Highton,G,1923,12,10,R
8449995,Charlie,Hodge,G,1933,7,28,L
8449996,Paul,Hoganson,G,1949,11,12,R
8449997,Hap,Holmes,G,1892,2,21,L
8449999,Robbie,Irons,G,1946,11,19,L
8450000,Joe,Ironstone,G,1898,6,28,R
8450002,Doug,Jackson,G,1924,12,12,L
8450003,Percy,Jackson,G,1907,9,21,L
8450004,Bob,Johnson,G,1948,11,12,L
8450005,Eddie,Johnston,G,1935,11,24,L
8450006,Joe,Junkin,G,1946,9,8,L
8450007,Mike,Karakas,G,1911,12,12,L
8450008,Don,Keenan,G,1938,8,8,L
8450009,Dave,Kerr,G,1910,1,11,R
8450010,Julian,Klymkiw,G,1933,7,16,R
8450011,Gary,Kurt,G,1947,3,9,L
8450012,Frenchy,Lacroix,G,1897,10,21,L
8450013,Hugh,Lehman,G,1885,10,27,L
8450014,Bert,Lindsay,G,1881,7,23,R
8450015,Ken,Lockett,G,1947,8,30,L
8450017,Howard,Lockhart,G,1895,3,21,L
8450018,Sam,LoPresti,G,1917,1,30,L
8450019,Harry,Lumley,G,1926,11,11,L
8450020,Cesare,Maniago,G,1939,1,13,L
8450021,Jean,Marois,G,1924,5,11,L
8450024,Seth,Martin,G,1933,5,4,L
8450026,Gilles,Mayer,G,1930,8,24,L
8450027,Ken,McAuley,G,1921,1,9,R
8450028,Jack,McCartan,G,1935,8,5,L
8450029,Frank,McCool,G,1918,10,27,L
8450030,Tom,McGrattan,G,1927,10,19,L
8450031,Murray,McLachlan,G,1948,10,20,L
8450032,Dave,McLelland,G,1952,11,20,L
8450037,Don,McLeod,G,1946,8,24,L
8450038,Jim,McLeod,G,1937,4,7,L
8450039,Gerry,McNamara,G,1934,9,22,L
8450041,Gerry,McNeil,G,1926,4,17,L
8450042,Al,Millar,G,1929,9,18,L
8450043,Joe,Miller,G,1900,10,6,L
8450044,Ivan,Mitchell,G,1893,7,9,L
8450045,Alfie,Moore,G,1905,12,1,R
8450046,Jean-Guy,Morissette,G,1937,12,16,L
8450047,Johnny,Mowers,G,1916,10,29,L
8450048,Jerome,Mrazek,G,1951,10,15,L
8450049,Hal,Murphy,G,1927,7,6,R
8450050,Mickey,Murray,G,1898,10,14,R
8450051,Cam,Newton,G,1950,2,25,L
8450054,Jack,Norris,G,1942,8,5,L
8450055,Dan,Olesevich,G,1937,9,16,L
8450056,Ted,Ouimet,G,1947,7,6,L
8450058,Marcel,Paille,G,1932,12,8,L
8450059,Marcel,Pelletier,G,1927,12,6,R
8450065,Bob,Perreault,G,1931,1,28,L
8450066,Jacques,Plante,G,1929,1,17,L
8450068,Claude,Pronovost,G,1935,7,22,L
8450094,Paul,Pageau,G,1959,10,1,L
8450096,Chuck,Rayner,G,1920,8,11,L
8450097,Greg,Redquest,G,1956,7,30,L
8450098,Dave,Reece,G,1948,9,13,R
8450099,Herb,Rheaume,G,1900,1,12,L
8450100,Dennis,Riggin,G,1936,4,11,L
8450101,Bob,Ring,G,1946,10,6,L
8450102,Fern,Rivard,G,1946,1,18,L
8450103,John Ross,Roach,G,1900,6,23,L
8450104,Moe,Roberts,G,1905,12,13,R
8450105,Earl,Robertson,G,1910,11,24,L
8450108,Al,Rollins,G,1926,10,9,L
8450109,Pat,Rupp,G,1942,8,12,L
8450110,Wayne,Rutledge,G,1942,1,5,L
8450111,Terry,Sawchuk,G,1929,12,28,L
8450112,Joe,Schaefer,G,1924,12,21,L
8450113,Don,Simmons,G,1931,9,13,R
8450114,Gary,Simmons,G,1944,7,19,L
8450115,Normie,Smith,G,1908,3,18,L
8450116,Bob,Sneddon,G,1944,5,31,R
8450117,Red,Spooner,G,1910,8,24,L
8450118,Phil,Stein,G,1913,9,13,L
8450119,Doug,Stevenson,G,1924,4,6,L
8450120,Charles,Stewart,G,1895,11,13,L
8450121,Herb,Stuart,G,1899,3,30,L
8450122,Dave,Tataryn,G,1950,7,17,L
8450123,Bobby,Taylor,G,1945,1,24,L
8450126,Harvey,Teno,G,1915,2,15,L
8450127,Tiny,Thompson,G,1903,5,31,L
8450129,Ted,Tucker,G,1949,5,7,L
8450130,Jay,Palladino,G,1957,4,5,
8450131,Joe,Turner,G,1919,3,28,L
8450132,Mike,Palmateer,G,1954,1,13,R
8450137,Georges,Vezina,G,1887,1,21,L
8450138,Gilles,Villemure,G,1940,5,30,R
8450140,Darren,Pang,G,1964,2,17,L
8450144,Flat,Walsh,G,1897,3,23,L
8450146,Jim,Watt,G,1950,5,11,L
8450147,Carl,Wetzel,G,1938,12,12,L
8450148,Dunc,Wilson,G,1948,3,22,L
8450149,Lefty,Wilson,G,1919,10,15,L
8450150,Hal,Winkler,G,1892,3,20,L
8450151,Alex,Wood,G,1911,1,15,L
8450152,Gump,Worsley,G,1929,5,14,L
8450153,Roy,Worters,G,1900,10,19,L
8450154,Chris,Worthy,G,1947,10,23,L
8450178,Bernie,Parent,G,1945,4,3,L
8450179,Robert,Parent,G,1958,2,19,L
8450205,James,Park,G,1952,6,22,
8450209,Dave,Parro,G,1957,4,30,L
8450237,Maxim,Sokolov,G,1972,5,27,R
8450306,Jocelyn,Perreault,G,1966,1,18,
8450311,Steve,Penney,G,1961,2,2,R
8450343,Pete,Peeters,G,1957,8,17,L
8450344,Jim,Pettie,G,1953,10,24,L
8450390,Frank,Pietrangelo,G,1964,12,17,L
8450468,Michel,Plasse,G,1948,6,1,L
8450494,Tuin,Polman,G,1960,9,27,
8450612,Mario,Proulx,G,1961,11,29,L
8450626,Chris,Pusey,G,1965,6,20,L
8450627,Daren,Puppa,G,1965,3,23,R
8450643,Bruce,Racine,G,1966,8,9,L
8450647,James,Ralph,G,1962,5,13,R
8450651,Bill,Ranford,G,1966,12,14,L
8450657,Andre,Racicot,G,1969,6,9,L
8450680,Alain,Raymond,G,1965,6,23,L
8450702,Daryl,Reaugh,G,1965,2,13,L
8450727,Eldon,Reddick,G,1964,10,6,L
8450743,Jeff,Reese,G,1966,3,24,L
8450785,John,Reid,G,1967,2,18,L
8450791,Carl,Repp,G,1966,6,6,L
8450793,Kenton,Rein,G,1967,9,12,L
8450802,Glenn,Resch,G,1948,7,10,L
8450806,Nick,Ricci,G,1954,4,26,L
8450829,Terrance,Richardson,G,1953,5,7,R
8450830,Curt,Ridley,G,1951,9,23,L
8450833,Mike,Richter,G,1966,9,22,L
8450834,Vincent,Riendeau,G,1966,4,20,L
8450835,Pat,Riggin,G,1959,5,26,L
8450899,David,Roach,G,1965,1,10,L
8450993,Roberto,Romano,G,1962,10,26,L
8451013,Michael,Rosati,G,1968,1,7,L
8451033,Patrick,Roy,G,1965,10,5,L
8451076,Jim,Rutherford,G,1949,2,17,L
8451121,Michael,Sands,G,1963,4,6,L
8451143,Bob,Sauve,G,1955,6,17,L
8451236,Ron,Scott,G,1960,7,21,L
8451307,William,Settlemyre,G,1951,3,28,
8451308,Richard,Sevigny,G,1957,4,11,L
8451369,Peter,Sidorkiewicz,G,1963,6,29,L
8451406,Paul,Skidmore,G,1956,7,22,L
8451407,Warren,Skorodenski,G,1960,3,22,L
8451474,Al,Smith,G,1945,11,10,L
8451525,Billy,Smith,G,1950,12,12,L
8451528,Gary,Smith,G,1944,2,4,L
8451562,Shawn,Simpson,G,1968,8,10,R
8451595,Doug,Soetaert,G,1955,4,21,L
8451626,Rick,St. Croix,G,1955,1,3,L
8451655,Ed,Staniowski,G,1955,7,7,L
8451685,Robb,Stauber,G,1967,11,25,L
8451695,Wayne,Stephenson,G,1945,1,29,L
8451701,Greg,Stefan,G,1961,2,11,L
8451721,James,Stewart Jr,G,1957,4,23,L
8451743,Sam,St. Laurent,G,1959,2,16,L
8451760,Richard,Strack,G,1958,11,30,
8451831,Don,Sylvestri,G,1961,6,2,L
8451834,Rick,Tabaracci,G,1969,1,2,L
8451837,Ron,Tugnutt,G,1967,10,22,L
8451842,Terry,Taillefer,G,1965,7,27,L
8451845,Kari,Takko,G,1962,6,23,L
8451859,John,Tanner,G,1971,3,17,L
8451860,Chris,Terreri,G,1964,11,15,L
8451891,Wayne,Thomas,G,1947,10,9,L
8451902,Tim,Thomlisson,G,1958,4,10,
8451958,Vincent,Tremblay,G,1960,10,2,L
8452122,Rogie,Vachon,G,1945,9,8,L
8452157,John,Vanbiesbrouck,G,1963,9,4,L
8452205,Mike,Veisor,G,1952,8,25,R
8452217,Mike,Vernon,G,1963,2,24,L
8452246,Jimmy,Waite,G,1969,4,15,L
8452247,Ernie,Wakely,G,1940,11,27,L
8452248,Darcy,Wakaluk,G,1966,3,14,L
8452249,Marty,Wakelyn,G,1962,7,18,
8452251,Carey,Walker,G,1957,7,27,
8452280,Edward,Walsh,G,1951,8,18,
8452287,Rick,Wamsley,G,1959,5,25,L
8452293,James,Warden,G,1954,6,22,
8452355,Steve,Weeks,G,1958,6,30,L
8452357,James,Weaver,G,1955,6,19,
8452440,Kay,Whitmore,G,1967,4,10,L
8452486,Wayne,Wood,G,1951,6,5,
8452519,Bernie,Wolfe,G,1951,12,18,L
8452535,Ken,Wregget,G,1964,3,25,L
8452576,Wendell,Young,G,1963,8,1,L
8452581,Michael,Zanier,G,1962,8,22,L
8455392,Guillaume,Abbattiello,G,1961,7,16,
8455393,Marty,Abrams,G,1965,3,4,L
8455394,Peter,Abric,G,1965,7,16,L
8455397,Drago,Adam,G,1966,9,21,
8455422,Tom,Allen,G,1962,10,22,L
8455436,Dean,Anderson,G,1966,7,14,L
8455458,James,Appleby,G,1963,3,26,
8455459,Mark,Applewhaite,G,1964,6,29,
8455463,Gavin,Armstrong,G,1968,7,27,L
8455471,Edward,Arrington,G,1952,12,27,
8455475,Mark,Ashton,G,,,,
8455477,Peter,Aslin,G,1962,9,21,L
8455486,Michel,Babineau,G,1967,5,1,
8455494,Darin,Baker,G,1968,9,9,
8455500,Jim,Bales,G,1956,9,12,
8455501,Mike,Bales,G,1971,8,6,L
8455515,Julian,Baretta,G,1957,10,3,L
8455518,Tim,Barker,G,1967,3,13,R
8455523,Craig,Barnett,G,1965,3,26,
8455525,Jeffrey,Barratt,G,1962,6,2,
8455540,Stanley,Bautch,G,1964,4,3,
8455558,Roger,Beedon,G,1967,5,30,
8455565,Steven,Bell,G,1968,11,19,
8455602,Paul,Billing,G,1960,7,23,
8455605,Michel,Binette,G,1960,3,21,
8455612,Michael,Bishop,G,1965,2,14,
8455626,Grant,Blair,G,1964,8,15,
8455627,Richard,Blakey,G,1960,9,9,
8455631,Carl,Bloomberg,G,1958,11,9,
8455633,John,Blue,G,1966,2,19,L
8455645,Eric,Bohemier,G,1967,6,13,R
8455648,Todd,Bojcun,G,1970,4,13,L
8455674,Jamie,Bowman,G,1965,2,14,
8455683,John,Bradley,G,1968,2,6,L
8455684,Scott,Bradley,G,1963,8,29,
8455706,Adolph,Brink,G,1965,9,4,
8455710,Martin,Brodeur,G,1972,5,6,L
8455713,Scott,Brower,G,1964,9,26,L
8455729,Ricky,Bucher,G,1955,9,27,
8455737,Rich,Burchill,G,1967,1,3,L
8455744,David,Burkholder,G,1960,1,1,L
8455749,Dan,Burrows,G,1963,3,15,
8455757,Kevin,Butt,G,1970,6,16,L
8455776,Julien,Cameron,G,1970,3,6,
8455781,Jim,Campbell,G,,,,
8455786,Bruno,Campese,G,1963,8,3,L
8455788,Joseph,Capprini,G,1968,2,26,L
8455794,Lance,Carlsen,G,1965,5,29,
8455807,Gary,Carr,G,1955,8,14,
8455815,Denis,Casey,G,1971,3,5,L
8455817,Scott,Cashman,G,1969,9,20,L
8455839,Yvan,Charbonneau,G,1960,7,28,
8455855,Douglas,Chessell,G,1963,2,18,L
8455857,Mark,Chiamp,G,1962,7,27,
8455902,Paul,Cohen,G,1965,1,31,
8455904,Thomas,Cole,G,1969,2,8,L
8455917,Paul,Connell,G,1967,3,19,
8455923,Kevin,Constantine,G,1958,12,27,
8455926,Dean,Cook,G,1968,9,20,
8455930,Scott,Cooper,G,1963,4,22,
8455931,Jeffrey,Cooper,G,1962,6,12,
8455935,Thomas,Corliss,G,1964,12,8,
8455941,Darren,Cossar,G,1962,12,15,
8455959,Wayne,Cowley,G,1964,12,4,L
8455962,Mike,Craig,G,1962,11,1,
8455971,Troy,Crosby,G,1966,9,11,L
8455975,Peter,Crouse,G,1963,11,13,
8455983,Scott,Cumming,G,1968,8,26,
8455986,Michael,Curran,G,1944,4,14,
8455991,Frederick,Cuvelier,G,1956,10,2,
8455994,Byron,Dafoe,G,1971,2,25,L
8455996,Corrie,D'alessio,G,1969,9,9,L
8456004,Robert,Daly,G,1957,6,27,L
8456048,Rory,Delouise,G,1961,2,12,
8456051,Dana,Demole,G,1963,4,20,
8456054,Ron,Dennis,G,1961,4,13,L
8456056,David,Depinto,G,1967,3,2,L
8456058,Robert,Deraney,G,1965,3,7,
8456060,Duane,Derksen,G,1968,7,7,L
8456063,Richard,Derose,G,1967,1,20,
8456065,Denis,Desbiens,G,1967,2,6,
8456067,Robert,Desjardins,G,1967,5,8,L
8456074,Greg,Dick,G,1962,3,8,
8456081,Remo,Disalvatore,G,1960,11,15,
8456088,Michael,Doneghey,G,1970,7,28,L
8456090,Robert,Dopson,G,1967,8,21,L
8456114,Joel,Drolet,G,1967,7,6,
8456127,Parris,Duffus,G,1970,1,27,L
8456128,Michel,Dufour,G,1962,8,31,
8456137,Mike,Dunham,G,1972,6,1,L
8456147,Larry,Dyck,G,1965,12,15,L
