8474596,8,64,20,32,9,0.906
8474596,19,289,148,94,26,0.913
8481597,14,1,0,0,0,0.7
8475883,12,50,34,13,3,0.925
8475883,10,268,149,74,36,0.914
8475883,24,125,77,26,12,0.918
8467950,7,27,14,11,2,0.899
8467950,15,4,2,1,0,0.915
8467950,9,354,158,141,39,0.912
8481020,21,2,1,0,1,0.863
8473541,1,10,4,4,1,0.902
8473541,17,105,33,51,9,0.908
8473541,21,37,19,13,3,0.913
8473541,24,39,21,7,4,0.915
8473541,10,151,59,68,17,0.915
8473541,26,14,9,3,1,0.922
8475234,29,4,3,1,0,0.924
8475234,16,13,3,6,1,0.894
8475234,2,21,6,4,3,0.9
8476412,19,157,86,45,20,0.911
8478406,1,128,55,50,15,0.908
8475683,13,128,76,33,11,0.905
8475683,29,374,213,130,27,0.921
8476316,54,24,10,9,3,0.895
8476316,52,54,25,19,3,0.913
8476316,22,28,7,13,2,0.897
8475789,10,72,47,14,8,0.915
8475789,26,57,20,24,5,0.918
8475789,25,1,0,1,0,0.872
8477480,52,18,10,6,1,0.899
8477480,1,1,1,0,0,0.909
8477480,17,3,0,2,0,0.864
8477831,15,29,16,8,3,0.903
8477831,19,2,0,1,0,0.829
8478916,55,4,0,3,0,0.858
8478916,9,9,1,4,1,0.894
8482076,1,23,9,11,0,0.893
8480420,16,29,9,10,4,0.905
8477180,7,12,1,8,1,0.893
8477180,1,7,1,5,0,0.857
8477180,28,107,48,34,12,0.908
8477967,23,130,64,51,10,0.914
8479193,5,90,40,26,10,0.914
8480022,23,3,0,2,0,0.771
8475839,5,1,1,0,0,0.976
8475839,20,1,0,1,0,0.87
8475839,1,16,3,8,2,0.882
8475839,23,1,0,1,0,0.882
8475839,14,38,28,8,1,0.91
8475839,53,84,27,41,7,0.906
8480843,24,4,1,2,0,0.907
8476904,55,22,7,11,1,0.899
8476904,13,35,21,8,4,0.931
8476904,9,3,0,1,0,0.889
8470880,14,15,8,3,3,0.918
8470880,4,130,65,38,14,0.902
8470880,20,49,26,18,3,0.91
8470880,19,143,81,36,12,0.92
8470594,16,45,19,21,5,0.908
8470594,30,5,4,1,0,0.926
8470594,54,192,117,60,14,0.917
8470594,5,257,149,73,27,0.917
8476341,9,47,20,20,4,0.915
8476341,12,3,1,1,0,0.897
8476341,16,35,10,16,4,0.908
8476341,29,10,1,8,0,0.879
8480925,21,54,35,12,5,0.921
8477457,15,4,1,1,1,0.924
8480382,3,125,55,47,11,0.908
8476434,24,373,165,146,50,0.915
8476903,1,17,3,10,0,0.882
8476903,19,1,0,0,1,0.923
8476903,20,12,4,5,1,0.903
8471306,17,61,17,27,9,0.902
8471306,2,193,101,60,17,0.915
8471306,5,20,9,6,3,0.908
8471306,53,25,10,8,5,0.92
8471306,28,6,1,4,0,0.915
8475831,55,51,16,29,5,0.891
8475831,21,113,66,30,10,0.918
8475831,15,101,43,31,11,0.923
8479406,9,24,8,12,3,0.902
8470860,23,16,4,7,2,0.899
8470860,6,90,49,23,14,0.918
8470860,2,177,88,65,19,0.913
8470860,19,56,30,14,5,0.913
8470860,15,12,5,4,3,0.93
8477202,8,4,3,0,0,0.92
8477202,1,2,0,1,1,0.783
8477202,21,1,0,1,0,0.939
8477202,9,55,27,14,6,0.923
8479394,4,145,62,60,16,0.906
8476945,52,377,199,127,35,0.916
8478499,28,25,10,11,1,0.906
8478499,53,49,19,21,4,0.909
8480981,19,2,1,1,0,0.88
8474651,25,24,10,10,1,0.913
8474651,23,21,7,11,3,0.889
8474651,15,447,268,118,43,0.915
8475920,7,6,4,2,0,0.917
8478903,3,1,0,1,0,0.821
8478024,19,52,31,12,6,0.915
8474636,10,30,10,15,2,0.898
8474636,21,1,1,0,0,0.944
8474636,13,4,1,1,2,0.839
8474636,52,102,43,39,11,0.91
8475622,53,3,0,2,0,0.741
8475622,7,94,31,49,10,0.902
8475622,19,62,30,15,5,0.923
8475622,18,75,33,23,12,0.91
8475622,16,1,0,1,0,0.893
8478971,18,2,1,1,0,0.906
8477465,5,158,92,47,13,0.915
8477992,21,17,8,3,2,0.895
8477992,13,1,0,1,0,0.815
8477992,7,13,1,8,2,0.888
8474889,4,29,10,15,3,0.902
8474889,28,327,170,121,27,0.907
8474889,26,34,16,11,2,0.923
8478039,30,54,31,17,4,0.907
8478039,28,5,0,3,0,0.895
8478902,10,9,5,2,1,0.904
8471418,25,112,47,40,17,0.917
8471418,6,61,32,16,9,0.913
8471418,24,9,3,3,0,0.909
8471418,12,70,27,31,7,0.914
8476234,3,10,4,2,1,0.903
8476234,8,6,1,1,3,0.875
8476234,1,151,64,55,17,0.906
8481519,13,33,21,8,3,0.907
8480373,53,2,0,0,0,0.914
8480373,28,10,3,5,0,0.899
8476914,29,182,76,67,21,0.902
8475156,22,160,81,57,13,0.907
8475311,21,50,34,9,3,0.926
8475311,53,121,55,48,15,0.92
8475311,26,19,10,1,3,0.932
8475311,30,102,41,34,14,0.91
